"Timestamp","What is your gender?","What is your major?","Which is better for the title of a book/article? (1)","Which is better for the title of a book/article? (2)","Which is better for the title of a book/article? (3)","Which is better for the title of a book/article? (4)","Which is better for the title of a book/article? (5)","Which is better for the title of a book/article? (6)","Which is better for the title of a book/article? (7)","Which is better for the title of a book/article? (8)","Which is better for the title of a book/article? (9)","Which is better for the title of a book/article? (10)","Which is better for the title of a book/article? (11)","Which is better for the title of a book/article? (12)","Which is better for the title of a book/article? (13)","Which is better for the title of a book/article? (14)","Which is better for the title of a book/article? (15)","Which is better for the title of a book/article? (16)"
"2016/04/18 9:50:12 PM AST","Female","computer science","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","The Industries of the Future","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Beautiful Tattoos For Anyone Who Loves The Ocean","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:11:01 PM AST","Female","Computer Engineering","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Other People's Money: Inside the Housing Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","The Mongols: From Genghis Khan to Tamerlane","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: Revelations of the Americas Before Columbus","A Short History of San Francisco","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:14:53 PM AST","Female","Computer Engineering","Got a hurtin' for some flirtin'","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","The Industries of the Future","Did She Reply Yet","How Lazy Are You?","Other People's Money: Inside the Housing Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Betting on Horse Racing For Dummies","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","The Gambling Addiction Cure","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:15:45 PM AST","Other","CS","Got a hurtin' for some flirtin'","Health Goth or Sloth?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","World Without End: Spain, Philip II, and the First Global Empire"
"2016/04/18 10:19:04 PM AST","Male","Computer Science","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","The Industries of the Future","Did She Reply Yet","How Lazy Are You?","Other People's Money: Inside the Housing Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","The Mongols: From Genghis Khan to Tamerlane","Smarter Bets - The Exacta Way","Revolution 1989: The Fall of the Soviet Empire","The True History of Chocolate","1491: Revelations of the Americas Before Columbus","A Short History of San Francisco","Overcoming Gambling Addiction","World Without End: Spain, Philip II, and the First Global Empire"
"2016/04/18 10:20:28 PM AST","Female","Software Engineering","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Top Coachella Tweets","The Industries of the Future","Did She Reply Yet","How Lazy Are You?","Other People's Money: Inside the Housing Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","The Mongols: From Genghis Khan to Tamerlane","Betting on Horse Racing For Dummies","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: Revelations of the Americas Before Columbus","A Short History of San Francisco","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:22:52 PM AST","Male","Computer Engineering","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","The Mongols: From Genghis Khan to Tamerlane","Smarter Bets - The Exacta Way","Revolution 1989: The Fall of the Soviet Empire","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:23:52 PM AST","Female","Computer Science","Got a hurtin' for some flirtin'","Health Goth or Sloth?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","What Percent Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","The Mongols: From Genghis Khan to Tamerlane","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","World Without End: Spain, Philip II, and the First Global Empire"
"2016/04/18 10:32:56 PM AST","Female","Biological basis of behavior","The 23 Greatest Moments In The History Of Flirting","Health Goth or Sloth?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","The Online Dating Bible","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:33:37 PM AST","Female","Mechanical Engineering","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","The Industries of the Future","Did She Reply Yet","What Percent Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Beautiful Tattoos For Anyone Who Loves The Ocean","Genghis Khan and the Making of the Modern World","Betting on Horse Racing For Dummies","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: A World Undisturbed","San Francisco Then and Now","The Gambling Addiction Cure","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 10:34:55 PM AST","Male","CS","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Top Coachella Tweets","The Industries of the Future","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Beautiful Tattoos For Anyone Who Loves The Ocean","Genghis Khan and the Making of the Modern World","Betting on Horse Racing For Dummies","Revolution 1989: The Fall of the Soviet Empire","The True History of Chocolate","1491: Revelations of the Americas Before Columbus","A Short History of San Francisco","Overcoming Gambling Addiction","World Without End: Spain, Philip II, and the First Global Empire"
"2016/04/18 11:01:34 PM AST","Male","Software Engineering","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 11:13:31 PM AST","Male","CS","Got a hurtin' for some flirtin'","Health Goth or Sloth?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","The Online Dating Bible","What Percent Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Betting on Horse Racing For Dummies","Revolution 1989: The Fall of the Soviet Empire","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","The Gambling Addiction Cure","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 11:16:03 PM AST","Female","Electrical and computer engineering","The 23 Greatest Moments In The History Of Flirting","Health Goth or Sloth?","Coachella Tweets Guaranteed To Make You Laugh","The Industries of the Future","Did She Reply Yet","What Percent Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Beautiful Tattoos For Anyone Who Loves The Ocean","Genghis Khan and the Making of the Modern World","Betting on Horse Racing For Dummies","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/18 11:54:45 PM AST","Female","Computer Science","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","The Mongols: From Genghis Khan to Tamerlane","Betting on Horse Racing For Dummies","Revolution 1989: The Fall of the Soviet Empire","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","World Without End: Spain, Philip II, and the First Global Empire"
"2016/04/19 12:12:22 AM AST","Male","Software Engineering","Got a hurtin' for some flirtin'","How Healthy Are You Actually?","Top Coachella Tweets","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/19 12:12:46 AM AST","Male","Computer Engineering and Applied Mathematics","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Top Coachella Tweets","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Simple And Beautiful Ocean Inspired Tattoos","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","Chocolate: Pathway to the Gods","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/19 12:52:52 AM AST","Male","CS/Math","Got a hurtin' for some flirtin'","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","Industries of Tomorrow","Did She Reply Yet","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Beautiful Tattoos For Anyone Who Loves The Ocean","Genghis Khan and the Making of the Modern World","Smarter Bets - The Exacta Way","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
"2016/04/19 3:12:25 AM AST","Female","Computer Science","The 23 Greatest Moments In The History Of Flirting","How Healthy Are You Actually?","Coachella Tweets Guaranteed To Make You Laugh","The Industries of the Future","The Online Dating Bible","How Lazy Are You?","Hidden in Plain Sight: What Really Caused the World's Worst Financial Crisis","18 Beautiful Tattoos For Anyone Who Loves The Ocean","Genghis Khan and the Making of the Modern World","Betting on Horse Racing For Dummies","The Last Empire: The Final Days of the Soviet Union","The True History of Chocolate","1491: A World Undisturbed","San Francisco Then and Now","Overcoming Gambling Addiction","Rivers of Gold: The Rise of the Spanish Empire, from Columbus to Magellan"
